name,category,calories,protein,carbs,fat,fiber,standardUnit
ซีเซ็กฉ่าย / ผักผสมดองเค็ม,vegetable,43.33,1.57,8.87,0.17,0,ถ้วยตวง
ตะไคร้,vegetable,65.63,0.75,13.16,1.11,7.6,ถ้วยตวง
ผักกาดดอง กระป๋อง / ฮั่วน่ำฉ่าย,vegetable,32.02,1.13,6.87,0,0,ถ้วยตวง
ซอสพริกผสมมะเขือเทศ,vegetable,254.57,5.69,56.42,0.68,0,ถ้วยตวง
ข่าอ่อน หน่อ,vegetable,22.18,2.02,2.39,0.5,0,ถ้วยตวง
ข่าอ่อน หัว,vegetable,25.58,1.64,3.91,0.38,1.76,ถ้วยตวง
ขิงแก่,vegetable,47.25,1.51,9.45,0.38,1.51,ถ้วยตวง
มะเขือเทศ เพสท์,vegetable,208.39,7.73,42.32,0.91,0,ถ้วยตวง
ผักชี เมล็ด,vegetable,16.27,0.68,3.32,0.03,2,ช้อนโต๊ะ
ผักชี ราก,vegetable,11.48,0.34,2.44,0.04,1.16,ถ้วยตวง
ข่าแก่,vegetable,44.66,0.87,9.82,0.21,1.25,ถ้วยตวง
ขิง ดอง เค็ม,vegetable,46.49,0.63,10.71,0.13,1.26,ถ้วยตวง
ซอสมะเขือเทศในน้ำปลากระป๋อง,vegetable,296.72,2.75,44.01,12.18,1.96,ถ้วยตวง
ขิงแก่ คั่ว,vegetable,104.89,3.36,20.98,0.84,3.36,ถ้วยตวง
ขิงแก่ เผา,vegetable,104.89,3.36,20.98,0.84,3.36,ถ้วยตวง
ข่าแก่ คั่ว / เผา,vegetable,153.85,2.52,34.69,0.56,0,ถ้วยตวง
ซอสเห็ดหอม,vegetable,137.64,5.69,28.21,0.23,0,ถ้วยตวง
ซอสมะเขือเทศผสมแครอท,vegetable,273.57,4.44,15.79,21.41,4.32,ถ้วยตวง
น้ำมะเขือเทศ,vegetable,71.99,1.32,15.63,0.46,1.37,ถ้วยตวง
น้ำมะเขือเทศผสมน้ำผลไม้รวม 60% (ตรา มาลี เซลฟ์พลัส),vegetable,114.59,0,28.65,0,0,ถ้วยตวง
น้ำแครอทผสมผลไม้รวม 100% (ตรา ยูนิฟ),vegetable,93.37,0,23.34,0,0,ถ้วยตวง
น้ำแครอทม่วงผสมผลไม้รวม 100% (ตรา ยูนิฟ),vegetable,106.1,0,26.52,0,0,ถ้วยตวง
น้ำผลไม้รวมผสมผักใบเขียว 100% (ตรา ยูนิฟ),vegetable,106.1,0,26.52,0,0,ถ้วยตวง
น้ำขิง,vegetable,43.84,0,10.96,0,0,ถ้วยตวง
สลัด (ผัก + ครีม),vegetable,98.78,1.34,9.74,6.05,0,ถ้วยตวง
แซนด์วิชไส้ไก่ทอดกรอบ ใส่ผักกาด มะเขือเทศ มายองเนส,vegetable,165.4,6.56,16.44,8.15,0.84,ถ้วยตวง
ข้าวผัดกุ้ง ใส่แครอท หอมใหญ่,vegetable,250.26,8.11,30.15,10.8,0.74,ถ้วยตวง
ข้าวผัดกุ้ง ใส่แครอท,vegetable,292.08,11.74,30.92,13.49,0.64,ถ้วยตวง
ข้าวผัดกุ้ง ใส่คะน้า,vegetable,245.13,7.94,30.73,10.05,0.84,ถ้วยตวง
ข้าวผัดใส่ผัก ไม่มีเนื้อสัตว์,vegetable,237.24,4.72,39.56,6.68,2.23,ถ้วยตวง
ข้าวผัดหมู ใส่ไข่ คะน้า,vegetable,207.33,7.25,32.27,5.47,0.57,ถ้วยตวง
ข้าวราดผัดเครื่องในใส่ขิง,vegetable,225.41,5.63,29.7,9.34,0,ถ้วยตวง
"พิซซ่า หน้าต่างๆ (ไก่, เนื้อ, เบคอน, ผัก, มายองเนส, ทูน่า)",vegetable,255.01,12.2,29.95,9.6,2.18,ชิ้น (กลาง)
แจ่วมะเขือเทศ,vegetable,99.11,5.68,15.48,1.61,3.2,ถ้วยตวง
ซุบมะเขือเปราะ,vegetable,83.48,3.94,15.28,0.74,6.4,ถ้วยตวง
ซุบมะเขือเปราะใส่ปลาดุก,vegetable,170.5,14.78,19.79,3.58,11.48,ถ้วยตวง
ซุบมะเขือเปราะใส่ปลาทู,vegetable,181.42,14.26,25.3,2.58,6.56,ถ้วยตวง
ตำถั่วฝักยาว,vegetable,77.61,3.59,14.19,0.72,4.7,ถ้วยตวง
ผัดผักบุ้งจีน / ผัดผักบุ้งไฟแดง,vegetable,170.85,4.19,8.64,13.28,3.44,ถ้วยตวง
ต้มปลาดุก ใส่ใบมะขามอ่อน ผักแขยง (อีสาน),vegetable,90.75,11.94,6.73,1.78,3.65,ถ้วยตวง
แกงเนื้อวัวใส่บวบกลม (ไม่ใส่กะทิ อาหารอีสาน),vegetable,202.22,11.99,7.21,13.93,1.93,ถ้วยตวง
