name,category,calories,protein,carbs,fat,fiber,standardUnit
น้ำอัดลม กลิ่นรูทเบียร์ (ตรา มิรินด้า),single_dish,107.08,0,26.77,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นรูทเบียร์ (ตรา A&W),single_dish,123.95,0,30.99,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นเลมอน (ตรา เซเว่น อัพ),single_dish,111.28,0,27.82,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นเลมอน (ตรา มิรินด้า),single_dish,104.06,0,26.02,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นเลมอน (ตรา สไปรท์),single_dish,126.55,0,31.64,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นส้ม (ตรา แฟนต้า),single_dish,116.23,0,29.06,0,0,ถ้วยตวง
น้ำอัดลม โคล่า (ตรา โค้ก),single_dish,87.78,0,21.95,0,0,ถ้วยตวง
น้ำอัดลม โคล่า (ตรา โค้กซีโร่),single_dish,0,0,0,0,0,ถ้วยตวง
น้ำอัดลม โคล่า (ตรา โค้กไลท์),single_dish,0,0,0,0,0,ถ้วยตวง
น้ำอัดลม โคล่า (ตรา เป๊ปซี่),single_dish,88.12,0,22.03,0,0,ถ้วยตวง
น้ำอัดลม (ตรา เป๊ปซี่ กรีน),single_dish,85.6,0,21.4,0,0,ถ้วยตวง
ผงหมูแดง,fruit,16.86,0.14,3.94,0.06,0.15,ช้อนโต๊ะ
มันกุ้ง ปรุงรส (คล้ายน้ำพริก),fruit,239.73,3.2,0,25.22,0,ทัพพี
