name,category,calories,protein,carbs,fat,fiber,standardUnit
นมผง เด็ก 6 เดือน-3 ปี (ตรา แนน 2),milk,479,16,56.5,21,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา โปรมิล),milk,462,20,55,18,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา มามิล),milk,442.45,19.16,50.49,18.2,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา เมจิ fu),milk,463.2,18.5,56.8,18,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา แล็คโตเย่น 2),milk,455.11,13.65,53.02,20.93,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา แล็คโตเยน โกลด์ 2),milk,463.8,21.6,51.6,19,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา สโนว์เมท),milk,449.35,15.04,56.34,18.2,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา สโนว์ เอฟ-พลัส),milk,472.9,17.4,56.5,19.7,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา หมี),milk,466.59,13.89,54.9,21.27,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา อะแล็คต้า 100),milk,440.25,15.23,53.65,18.3,2.49,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา เอนฟา 2 สมาร์ทพลัส),milk,431.91,14.95,59.4,14.95,2.3,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา เอนฟาโปร),milk,452.22,18.59,54.8,17.63,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา เอนฟาแล็ค เอพลัส 2),milk,427.12,15.14,58.44,14.75,0,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา เอส-26 โปรมิล โกลด์),milk,469.47,14.37,55.57,21.08,2.11,ถ้วยตวง
