name,category,calories,protein,carbs,fat,fiber,standardUnit
เทา / ตะไคร่น้ำ / สาหร่ายน้ำจืด,single_dish,43.88,2.34,8.19,0.2,0,ถ้วยตวง
เทียนขาว / ยี่หร่า เมล็ด,single_dish,17.68,0.84,2.71,0.39,0.5,ช้อนโต๊ะ
"ธัญญาหาร ชนิดแท่ง รสน้ำผึ้ง (แคลเซียม วิตามินอี วิตามินซี สูง, ไขมันต่ำ) (ตรา เนสวิต้า)",single_dish,100.47,1.18,21.27,1.18,0,ชิ้น (กลาง)
"ธัญญาหาร ชนิดแท่ง รสแอปริคอท (แคลเซียม วิตามินอี วิตามินซี สูง, ไขมันต่ำ) (ตรา เนสวิต้า)",single_dish,81.01,1,17,1,0,ชิ้น (กลาง)
นองไวดุ ต้ม (กะเหรี่ยงเมืองกาญฯ),single_dish,33.54,2.7,5.1,0.26,4.9,ถ้วยตวง
นัท คอกเทล อบเกลือ,single_dish,740.32,25.54,22.57,60.88,9.69,ถ้วยตวง
นัท คอกเทล อบน้ำผึ้ง,single_dish,707.94,12.77,41.61,54.49,8.44,ถ้วยตวง
นาซิดาแฆ / ข้าวมันแกงไก่,single_dish,502.39,14.82,59.89,22.62,4.24,ชิ้น (กลาง)
น้ำกระเจี๊ยบ,single_dish,82.7,0.08,20.46,0.06,0.1,ถ้วยตวง
น้ำกระเจี๊ยบผสมน้ำผึ้ง (ตรา ดอยคำ),single_dish,66.56,0,16.64,0,0,ถ้วยตวง
น้ำกระเทียมดอง,single_dish,0,0,0,0,0,ถ้วยตวง
น้ำกะทิ กระป๋อง,single_dish,340.6,3.78,6.51,33.27,0.29,ถ้วยตวง
น้ำกะทิ กล่อง ยูเอชที,single_dish,378.41,4.04,10.97,35.37,0,ถ้วยตวง
น้ำกะทิ กะทิกลาง คั้นใส่น้ำ (มะพร้าวขูด 1 : น้ำ 1),single_dish,262.33,3.19,4.45,25.75,0,ถ้วยตวง
น้ำกะทิ กะทิกลาง คั้นใส่น้ำ (มะพร้าวขูด 2 : น้ำ 1,single_dish,381.61,3.72,9.21,36.65,4.57,ถ้วยตวง
น้ำกะทิ กะทิกลาง คั้นใส่น้ำ (มะพร้าวขูด 3 : น้ำ 1),single_dish,359.16,3.5,8.67,34.5,0,ถ้วยตวง
น้ำกะทิ กะทิกลาง คั้นใส่น้ำ (มะพร้าวขูด 4 : น้ำ 3),single_dish,282.84,3.24,13.4,24.03,4.62,ถ้วยตวง
น้ำกะทิ หัวกะทิ คั้นไม่ใส่น้ำ,single_dish,682.25,8.3,11.58,66.97,0,ถ้วยตวง
น้ำกะทิ หัวกะทิ คั้นใส่น้ำ (มะพร้าวขูด 10 : น้ำ 1),single_dish,241.4,2.94,4.1,23.7,0,ถ้วยตวง
น้ำกะทิ หัวกะทิ คั้นใส่น้ำ (มะพร้าวขูด 10 : น้ำ 2.5),single_dish,502.51,6.24,10.14,48.55,4.54,ถ้วยตวง
น้ำกะทิ หางกะทิ คั้นใส่น้ำ (มะพร้าวขูด 1 : น้ำ 2),single_dish,156.85,1.91,2.66,15.4,0,ถ้วยตวง
น้ำกะทิ หางกะทิ คั้นใส่น้ำ (มะพร้าวขูด 1 : น้ำ 3),single_dish,121.79,1.39,5.77,10.35,1.99,ถ้วยตวง
น้ำกะทิ หางกะทิ คั้นใส่น้ำ (มะพร้าวขูด 2 : น้ำ 3),single_dish,197.8,2.41,3.36,19.42,0,ถ้วยตวง
น้ำกีวีผสมน้ำผลไม้รวม 40% (ตรา ทิปโก้คูล ฟิต),single_dish,114.59,0,28.65,0,0,ถ้วยตวง
น้ำเก๊กฮวย กระป๋อง (ตรา มาลี ทรอปิคอล),single_dish,104,0,26,0,0,ถ้วยตวง
น้ำแกงกะหรี่,single_dish,438.7,7.48,35.68,29.56,5.1,ถ้วยตวง
น้ำแกงเขียวหวาน,single_dish,306.83,4.4,12.09,26.77,2.84,ถ้วยตวง
