name,category,calories,protein,carbs,fat,fiber,standardUnit
ผักผ่อง / ผักขี้หูด ดิบ,vegetable,7.72,1.79,0,0.06,0,ถ้วยตวง
ผักพังคี ดิบ,vegetable,64.33,1.63,13.35,0.49,0,ถ้วยตวง
ผักแพงพวย / แพงพวยน้ำ ดิบ,vegetable,28.7,2.57,3.9,0.31,0,ถ้วยตวง
ผักแพว / ผักไผ่ ดิบ,vegetable,48.75,2.95,8.4,0.37,7.62,ถ้วยตวง
ผักมันปู / มะเนียงน้ำ ใบ ดิบ,vegetable,55,1.96,11.56,0.1,8.15,ถ้วยตวง
ผักมันหมู / ผักเหลียง (เหล่คองดุ) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,48.83,0.12,10.4,0.75,8.9,ถ้วยตวง
ผักเม็ก ดิบ,vegetable,13.37,0.54,2.68,0.05,1.96,ถ้วยตวง
ผักลำโบ้ ดิบ,vegetable,32.8,0.99,7.03,0.08,0,ถ้วยตวง
ผักว๊อกแวม ดิบ,vegetable,72.14,3.34,10.06,2.06,0,ถ้วยตวง
ผักแว่น / ผักลิ้นปี่ ดิบ,vegetable,10.99,0.75,1.83,0.07,2.8,ถ้วยตวง
ผักเสม็ด ยอดอ่อน ดิบ,vegetable,51.96,1.66,9.94,0.62,6.21,ถ้วยตวง
ผักเสี้ยน ดอง,vegetable,6.38,0.42,0.75,0.19,0.75,ทัพพี
ผักเสี้ยน ดิบ,vegetable,5.13,0.42,0.73,0.06,0,ถ้วยตวง
ผักเสี้ยว / ชงโค (จ.เชียงใหม่),vegetable,18.12,1.89,2.1,0.24,0,ถ้วยตวง
ผักแส้ว ยอดอ่อน ดิบ,vegetable,15.63,1.38,1.92,0.27,0,ถ้วยตวง
ผักหนาม ดิบ,vegetable,10.56,1.22,1.16,0.12,1.16,ถ้วยตวง
ผักหมาน้อย / เครือหมาน้อย / กรุงเขมา ดิบ,vegetable,4.61,0.17,0.89,0.04,0.85,ถ้วยตวง
ผักหวานบ้าน ดิบ,vegetable,31.3,3,4.15,0.3,2.6,ถ้วยตวง
ผักหวานป่า ดิบ,vegetable,24.57,1.34,4.06,0.33,0,ถ้วยตวง
ผักหางหมาม้อ ดิบ,vegetable,95.32,3.43,17.88,1.12,0,ถ้วยตวง
ผักเหลียง / ผักเหมียง ใบอ่อน ดิบ,vegetable,34.83,2.62,5.28,0.36,3.14,ถ้วยตวง
ผักโหบเหบ ดิบ,vegetable,4.1,0.21,0.75,0.03,0,ถ้วยตวง
ผักออบแอบ / ส้มอ๊อบแอ๊บ ใบ ดิบ,vegetable,72.24,2.7,13.15,0.98,7.84,ถ้วยตวง
ผักอีหล่ำ / มะกล่ำตาช้าง ดิบ,vegetable,32.33,2.45,4.97,0.29,2.75,ถ้วยตวง
ผักฮาก / ผักรด (งองชูน่าดุ) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,51.3,3.7,8,0.5,7.5,ถ้วยตวง
ผักฮิ้นน้ำ / ผักอีฮีน ดิบ,vegetable,8.4,0.4,1.52,0.08,1.24,ถ้วยตวง
ผิวมะกรูด,vegetable,6.38,0.17,1.28,0.07,0.41,ช้อนโต๊ะ
พริกขี้หนู ป่น,vegetable,375.83,14.28,52.8,11.94,46.11,ถ้วยตวง
พริกขี้หนู สด,vegetable,22.7,0.99,3.58,0.49,2.91,ทัพพี
